1481;Ollmütz, Wien, Prag, Venedig, Ofen, Rotenburg, Kuttenberg, Rom, Landshut, Griven, Karlsberg, Spitz, Brügge, Gent, Mecheln, Den Haag, ’s-Hertogenbosch, Brüssel
1482;Wien, Grellenstein, Prag, Rom, Brügge, Mecheln, Antwerpen, Löwen, Sint-Truiden, Aalst, Brüssel
1483;Wien, Rom, Lichtentann, Neustadt, Grätz, Krems, Admund, Liechtenwerd, Carlsperg, Krummau, Graz, Wiener Neustadt, Brüssel, im Feld vor Huy, Löwen, Utrecht, ’s-Hertogenbosch, Antwerpen
1484;Waidhofen, Grätz, Weiteneck, Wien, Neustadt, Linz, Enns, Graz, Brüssel, Valenciennes, Antwerpen, Mecheln
1485;Freinstadt, Linz, Steyereck, Leonfelden, Vöcklabruck, Salzburg, Innsbruck, Kempten, Ulm, Constanz, Ueberlingen, Baden, Hagenau, Esslingen, Dinkelspühel, Nürnberg, Weissemburg am Norgkaw, Augsburg, Nördlingen, Kulssheim, Frankfurt, Wiesbaden, Cölln, Freistadt, Bamberg, Aachen, Biberach, Überlingen, Konstanz, Stams, Lindau, Gmunden, Rosenheim, Straßburg, Lermoos, Köln, Tervuren, Brüssel, Löwen, Brügge, Gent, Maastricht, Mecheln, Antwerpen
1486;Cölln, Frankfurt, Meissaw, Achen, Brüssel, Innsbruck, Slewss in Flanndern, Prugg in Flanndern, Gennt, Antwerpen, Bonn, Külssheim, Andernach, Bacherach, Bingen, Drosendorf, Worms, Speyer, Maulbrunn, Köln, Mecheln, Aachen, Brügge, auf dem Rhein bei Eltville, Neuss, Gent, Oppenheim
1487;Speyer, Hall, Liptzk, Dinkelsbühl, Nürnberg, Rom, Venedig, Ulm, Biberach, Sinsheim, Ansbach, Brüssel, Brügge, Antwerpen, Vilvoorde
1488;Innsbruck, Kempten, Geysslingen, Heidelberg, Göppingen, Stuttgart, Speyer, Worms, Oppenheim, Marmiroli, Cölln, Rom, Achen, Mecheln, Alst in Flandern, Im Feld bey Bucholt, Ardenburg, Antwerpen, Neuss, Bonn, Bopparten, Bacherach, Coblenz, Esslingen, Ulm, Köln, Stams, im Feld bei Gent, im Feld zu Aardenburg, Aardenburg, Wien, Maastricht, Bacharach, Aachen, Aalst, Aalst in Flandern, Mechelen, Remagen, Koblenz, Boppard, Brügge, Im Feld bei Evergem, im Feld bei Evergem, Bergen op Zoom
1489;Innsbruck, Rom, Brixen, Bozen, Trient, In arce Nulliac, Verona, Portenau, Laibach, Traburg, Linz, Pordenone, Villach, Delft, Schiedam, Dordrecht, Dinkelsbühl, Frankfurt, Frankfurt am Main, Mecheln, Breda
1490;Linz, Regensburg, Antwerpen, Lier, Brügge
1491;Linz, Pressburg, Augsburg, Nürnberg, Antwerpen, Ulm, Mecheln, Brüssel
1492;Linz, Augsburg, Mecheln, Antwerpen, Hulst, Koblenz, Metz
1493;Linz, Mecheln, Senlis, Wien
1494;Mecheln, Tervuren
